run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Complexity,Epoch,Generalization Gap,KL Loss on Train Data (kl mean)
w6j4n97x,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,sgd,3,2048,86.0,416601.0,0.3050000071525574,0.011751641519367697
mthwc5ko,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,sgd,3,2048,87.0,324081.0,0.3050000071525574,0.009999425150454044
0p3kkbb8,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,adam,3,2048,76.0,422653.0,0.3019999861717224,0.01097012683749199
s4gb18aj,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,adam,3,2048,75.0,430368.0,0.28299999237060547,0.009999142959713936
2f4m7jwq,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,adam,3,2048,76.0,422437.0,0.28575003147125244,0.011009843088686466
jn4lo31d,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,rmsprop,2,2048,85.0,12395.0,0.3147500157356262,0.009997501038014889
owjo6ir9,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,rmsprop,2,2048,85.0,17212.0,0.2877500057220459,0.009999084286391737
ajpncbh5,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,sgd,2,2048,92.0,421190.0,0.32200002670288086,0.011171611025929453
x8fo1d7o,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,rmsprop,2,2048,80.0,418792.0,0.3097500205039978,0.010503609664738178
y76dxry9,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,sgd,2,2048,93.0,18706.0,0.32200002670288086,0.009997774846851826
6nf5mvg6,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,sgd,2,2048,92.0,419928.0,0.32099997997283936,0.011670252308249474
fsyu9cp7,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,128,0.2,0.0001,adam,2,2048,91.0,15690.0,0.3190000057220459,0.009998422116041183
8uvpdh54,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,128,0.2,1e-05,adam,2,2048,88.0,419737.0,0.32099997997283936,0.01046925038099289
z6ife3q5,opadam_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,128,0.2,0.0,adam,2,2048,88.0,425028.0,0.31800001859664917,0.010201782919466496
x7u8ce2f,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,rmsprop,4,2048,74.0,428742.0,0.23149996995925903,0.01050812378525734
5twlhj2p,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,rmsprop,4,2048,76.0,427843.0,0.234250009059906,0.012470897287130356
rq5seg3l,oprmsprop_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,rmsprop,4,2048,69.0,335811.0,0.2455000281333923,0.0099992910400033
7r2d1liq,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,sgd,4,2048,80.0,421090.0,0.30900001525878906,0.012576780281960964
yxfh8kkw,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,sgd,4,2048,80.0,435441.0,0.30900001525878906,0.010811635293066502
fqcx12n8,opsgd_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,sgd,4,2048,80.0,425810.0,0.30800002813339233,0.010874729603528976
kxhy61ig,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,adam,4,2048,69.0,331107.0,0.2304999828338623,0.009999927133321762
n430uzxj,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,adam,4,2048,72.0,424621.0,0.25174999237060547,0.010578085668385029
3cjoikk4,opadam_hw2048_nl4_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,adam,4,2048,73.0,23361.0,0.2397499680519104,0.009994941763579844
ol3813u1,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,rmsprop,3,2048,73.0,317453.0,0.2682499885559082,0.009998880326747894
7omz1w89,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,rmsprop,3,2048,68.0,426343.0,0.2470000386238098,0.011788456700742245
ctp93mfh,oprmsprop_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,rmsprop,3,2048,74.0,428802.0,0.29075002670288086,0.012752651236951351
s1hswfd5,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,sgd,3,2048,88.0,419265.0,0.30699998140335083,0.010612435638904572
cb8jmj5t,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,sgd,3,2048,86.0,419006.0,0.30800002813339233,0.011233428493142128
hvlwroca,opsgd_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,sgd,3,2048,87.0,24069.0,0.30699998140335083,0.00999961979687214
alv20o95,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,adam,3,2048,72.0,430144.0,0.2607499957084656,0.01140763983130455
4tyt6nf6,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,adam,3,2048,64.0,418162.0,0.2597499489784241,0.01204049214720726
jf73t8j8,opadam_hw2048_nl3_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,adam,3,2048,73.0,119458.0,0.2642499804496765,0.009999883361160755
mpcjmwm5,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,rmsprop,2,2048,78.0,426933.0,0.2799999713897705,0.010972094722092152
yb9rw2nm,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,rmsprop,2,2048,74.0,422823.0,0.29975003004074097,0.011305315420031548
ixnldon9,oprmsprop_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,rmsprop,2,2048,78.0,428187.0,0.28299999237060547,0.012327847070991991
6jrhasba,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,sgd,2,2048,92.0,418491.0,0.32099997997283936,0.011489267461001871
v76b5sie,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,sgd,2,2048,90.0,422596.0,0.3240000009536743,0.01132126897573471
3n39q178,opsgd_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,sgd,2,2048,92.0,425444.0,0.3240000009536743,0.010149624198675156
76junnye,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd0.0001,0.001,128,0.2,0.0001,adam,2,2048,81.0,20699.0,0.29350000619888306,0.009999223053455353
