run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Base Train Loss,Epoch,Epochs Taken,Final Overall Base Train Loss,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target,_runtime,_step,_timestamp,_wandb
1yidjjjv,oprmsprop_hw2048_nl2_lr0.001_bs64_dp0.1_wd0,0.001,40,64,10,0.1,0.0,rmsprop,2,2048,0.6940000057220459,0.9992499947547911,0.008895298466086388,28,28,0.00791490450501442,False,0.00791490450501442,False,True,42.69034695625305,1792,1741272309.971623,{'runtime': 42}
5p9ykg86,opsgd_hw2048_nl3_lr0.003_bs64_dp0.1_wd0,0.003,40,64,10,0.1,0.0,sgd,3,2048,0.6729999780654907,1.0,0.03202243149280548,868,868,0.009851990267634392,False,0.009851990267634392,False,True,1246.3189556598663,55552,1741273513.6059527,{'runtime': 1245}
076lw2ef,opadam_hw2048_nl4_lr0.003_bs32_dp0.2_wd0,0.003,40,32,10,0.2,0.0,adam,4,2048,0.5260000228881836,0.6502500176429749,0.845120906829834,1970,1970,0.7419280409812927,True,0.7419280409812927,False,False,28385.823884487152,248220,1741300650.5703576,{'runtime': 28385}
6392sewx,oprmsprop_hw2048_nl4_lr0.003_bs32_dp0.2_wd0,0.003,40,32,10,0.2,0.0,rmsprop,4,2048,0.19900000095367432,0.24050000309944153,1.8944685459136963,1925,1925,1.9541141986846924,True,1.9541141986846924,False,False,19298.78364133835,242550,1741291563.5274465,{'runtime': 19298}
l7flxseg,oprmsprop_hw2048_nl3_lr0.003_bs32_dp0.1_wd0,0.003,40,32,10,0.1,0.0,rmsprop,3,2048,0.6690000295639038,0.975250005722046,0.4037235379219055,1281,1281,0.20803074538707733,True,0.20803074538707733,False,False,10283.804760694504,161406,1741281616.2723637,{'runtime': 10283}
t1hg8ick,opadam_hw1024_nl3_lr0.003_bs128_dp0.1_wd0,0.003,40,128,10,0.1,0.0,adam,3,1024,0.7409999966621399,0.9982500076293944,0.05990995466709137,56,56,0.00974302738904953,False,0.00974302738904953,False,True,137.91085648536682,1848,1740845195.5155256,{'runtime': 137}
ydkawi20,oprmsprop_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,rmsprop,4,2048,0.7419999837875366,0.9994999766349792,0.008053862489759922,34,34,0.009185830131173134,False,0.009185830131173134,False,True,215.73813652992249,1122,1740724205.1375055,{'runtime': 214}
otuvfba5,oprmsprop_hw2048_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,rmsprop,4,2048,0.7480000257492065,0.9994999766349792,0.01276710256934166,36,36,0.006804069969803095,False,0.006804069969803095,False,True,101.54597353935242,1188,1740724086.6447484,{'runtime': 101}
b2epnllg,oprmsprop_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,rmsprop,4,2048,0.734000027179718,0.9992499947547911,0.029545385390520096,36,36,0.008158939890563488,False,0.008158939890563488,False,True,85.37395167350769,1188,1740724050.8320377,{'runtime': 85}
jv9pppzq,opsgd_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,sgd,4,2048,0.6909999847412109,1.0,0.12869897484779358,15101,15101,0.00999927707016468,False,0.00999927707016468,False,True,23539.076875925064,498333,1740747494.391388,{'runtime': 23538}
wkrwwffa,opsgd_hw2048_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,sgd,4,2048,0.6909999847412109,1.0,0.08368074893951416,14940,14940,0.009965069591999054,False,0.009965069591999054,False,True,28808.94351696968,493020,1740752748.5605369,{'runtime': 28809}
afql4d7w,opsgd_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,sgd,4,2048,0.6899999976158142,1.0,0.03837234154343605,14923,14923,0.0099820950999856,False,0.0099820950999856,False,True,21442.977969169617,492459,1740745356.2194302,{'runtime': 21438}
ym9jxsje,opadam_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,adam,4,2048,0.753000020980835,0.9990000128746032,0.1853800863027573,32,32,0.007747395895421505,False,0.007747395895421505,False,True,77.36855864524841,1056,1740723951.2952516,{'runtime': 77}
mxfeu0or,opadam_hw2048_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,adam,4,2048,0.7229999899864197,0.999750018119812,0.08080455660820007,30,30,0.0067886789329349995,False,0.0067886789329349995,False,True,91.08757424354552,990,1740723956.4496822,{'runtime': 90}
fybfqy46,oprmsprop_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,rmsprop,3,2048,0.7279999852180481,0.9994999766349792,0.02407865785062313,44,44,0.006510248873382807,False,0.006510248873382807,False,True,193.30176377296448,1452,1740724043.1669238,{'runtime': 193}
98lkte9o,opadam_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,adam,4,2048,0.7080000042915344,0.9992499947547911,0.020940003916621208,30,30,0.008601530455052853,False,0.008601530455052853,False,True,128.91757893562317,990,1740723986.803611,{'runtime': 128}
fi7g360i,oprmsprop_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,rmsprop,3,2048,0.7210000157356262,0.999750018119812,0.00806883629411459,40,40,0.003492773277685046,False,0.003492773277685046,False,True,73.25925207138062,1320,1740723918.894673,{'runtime': 72}
0ln4y808,oprmsprop_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,rmsprop,3,2048,0.7239999771118164,0.9994999766349792,0.0204711202532053,36,36,0.008260347880423069,False,0.008260347880423069,False,True,72.51290583610535,1188,1740723910.66321,{'runtime': 68}
