run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Batch Size,Complexity,Depth,Dist Train (kl mean),Dropout Probability,Epoch,Generalization Gap,KL Loss on Train Data (kl mean),Learning Rate,Optimizer,Weight Decay,Width,_runtime,_step,_timestamp,_wandb
t1vrzgp2,oprmsprop_hw1024_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,40,64,10,0.1,1e-05,rmsprop,4,1024,64.0,62.0,4.0,0.011878511868417265,0.1,433966.0,0.2574999928474426,0.011878511868417265,0.001,rmsprop,1e-05,1024.0,15238.991998910904,1714058.0,1741358355.993456,{'runtime': 15237}
wc73wk8p,opsgd_hw2048_nl3_lr0.003_bs64_dp0.1_wd0,0.003,40,64,10,0.1,0.0,sgd,3,2048,64.0,87.0,3.0,0.00999663770198822,0.1,223170.0,0.3240000009536743,0.00999663770198822,0.003,sgd,0.0,2048.0,2461.1257450580597,1273148.0,1741345578.126084,{'runtime': 2460}
hfs4kz6r,oprmsprop_hw2048_nl3_lr0.003_bs32_dp0.1_wd0,0.003,40,32,10,0.1,0.0,rmsprop,3,2048,,,,,,,,,,,,,,,,{'runtime': 9}
n9zaphu4,oprmsprop_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,rmsprop,4,2048,128.0,76.0,4.0,0.011125467717647552,0.2,436627.0,0.2574999928474426,0.011125467717647552,0.0003,rmsprop,0.0001,2048.0,6164.1494576931,1380214.0,1740890173.3018627,{'runtime': 6162}
452voacm,oprmsprop_hw2048_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,rmsprop,4,2048,128.0,70.0,4.0,0.01158385258167982,0.2,427726.0,0.2514999508857727,0.01158385258167982,0.0003,rmsprop,1e-05,2048.0,2062.6482512950897,989728.0,1740886054.2354553,{'runtime': 2058}
kcdx3ufw,oprmsprop_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,rmsprop,4,2048,128.0,71.0,4.0,0.009998387657105924,0.2,22437.0,0.26524996757507324,0.009998387657105924,0.0003,rmsprop,0.0,2048.0,1830.6852719783783,1134886.0,1740885822.127557,{'runtime': 1826}
a6fw79bc,opsgd_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,sgd,4,2048,128.0,83.0,4.0,0.009999875910580158,0.2,30011.0,0.3059999942779541,0.009999875910580158,0.0003,sgd,0.0001,2048.0,2506.723195552826,983898.0,1740886482.591565,{'runtime': 2498}
kg8t9ria,opsgd_hw2048_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,sgd,4,2048,128.0,80.0,4.0,0.011977188289165497,0.2,426925.0,0.3059999942779541,0.011977188289165497,0.0003,sgd,1e-05,2048.0,2806.5697751045227,1676716.0,1740886828.8716972,{'runtime': 2802}
63ucjj0f,opsgd_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,sgd,4,2048,128.0,80.0,4.0,0.011979207396507263,0.2,425420.0,0.30699998140335083,0.011979207396507263,0.0003,sgd,0.0,2048.0,3441.0941529273987,1783068.0,1740887391.400418,{'runtime': 3440}
3yvnwwoe,opadam_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,adam,4,2048,128.0,71.0,4.0,0.0099978381767869,0.2,431185.0,0.2459999918937683,0.0099978381767869,0.0003,adam,0.0001,2048.0,2449.444628238678,1356926.0,1740886421.7361145,{'runtime': 2440}
