run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
8d3okvgy,opadam_hw2048_nl2_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,adam,2,2048,0.7080000042915344,0.9994999766349792,48,False,0.006197008769959211,False,True
bkomjhh9,opadam_hw2048_nl4_lr0.0003_bs128_dp0.1_wd0.0001,0.0003,128,0.1,0.0001,adam,4,2048,0.7210000157356262,0.9982500076293944,29,False,0.00959695316851139,False,True
urrp1mjt,opsgd_hw2048_nl2_lr0.003_bs128_dp0.1_wd0.0001,0.003,128,0.1,0.0001,sgd,2,2048,0.6620000004768372,1.0,3684,False,0.009990252554416656,False,True
8xm1sy74,opadam_hw2048_nl4_lr0.001_bs128_dp0_wd1e-05,0.001,128,0.0,1e-05,adam,4,2048,0.7699999809265137,0.9977499842643738,47,False,0.009380556643009186,False,True
2hpixn18,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0,0.001,64,0.2,0.0,sgd,3,2048,0.6919999718666077,1.0,2852,False,0.009966444224119186,False,True
ctm8lbtn,opsgd_hw2048_nl4_lr0.001_bs64_dp0.2_wd1e-05,0.001,64,0.2,1e-05,sgd,4,2048,0.6930000185966492,1.0,2289,False,0.009959416463971138,False,True
ay2oos90,opsgd_hw2048_nl3_lr0.001_bs64_dp0.2_wd0.0001,0.001,64,0.2,0.0001,sgd,3,2048,0.6959999799728394,1.0,2918,False,0.009983466938138008,False,True
0ngd8cwj,opsgd_hw512_nl3_lr0.0003_bs128_dp0_wd0.0001,0.0003,128,0.0,0.0001,sgd,3,512,0.6119999885559082,1.0,27292,False,0.009999189525842668,False,True
f3ln8avf,oprmsprop_hw512_nl3_lr0.0003_bs128_dp0_wd0,0.0003,128,0.0,0.0,rmsprop,3,512,0.6930000185966492,1.0,66,False,0.00981506146490574,False,True
uyehadth,opadam_hw512_nl2_lr0.001_bs128_dp0_wd1e-05,0.001,128,0.0,1e-05,adam,2,512,0.6620000004768372,1.0,47,False,0.009070390835404396,False,True
zhmhwdva,oprmsprop_hw1024_nl4_lr0.0003_bs64_dp0.2_wd0.0001,0.0003,64,0.2,0.0001,rmsprop,4,1024,0.7509999871253967,0.9990000128746032,39,False,0.00666652899235487,False,True
zmios1i2,opsgd_hw512_nl2_lr0.001_bs64_dp0.2_wd1e-05,0.001,64,0.2,1e-05,sgd,2,512,0.7039999961853027,1.0,11084,False,0.009996211156249046,False,True
