run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken Base,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target Base,Complexity,Epochs Taken Dist,Generalization Gap,KL Loss on Train Data (kl mean),max_sigma,noisy_error,noise_trials,pac_bound_inverse_kl,pac_bound_pinsker
zhmhwdva,oprmsprop_hw1024_nl4_lr0.0003_bs64_dp0.2_wd0.0001,0.0003,64.0,0.2,0.0001,rmsprop,4.0,1024.0,0.7509999871253967,0.9990000128746032,39.0,False,0.0066665289923548,False,True,67.0,123914.0,0.2480000257492065,0.009999705478549,0.0316314697265625,0.1035899966955185,"[{""sigma"": 0.5, ""noisy_error"": 0.8994899988174438}, {""sigma"": 0.25, ""noisy_error"": 0.8985099792480469}, {""sigma"": 0.125, ""noisy_error"": 0.8796499967575073}, {""sigma"": 0.0625, ""noisy_error"": 0.6326799988746643}, {""sigma"": 0.03125, ""noisy_error"": 0.0982000008225441}, {""sigma"": 0.046875, ""noisy_error"": 0.37432000041007996}, {""sigma"": 0.0390625, ""noisy_error"": 0.22014999389648438}, {""sigma"": 0.03515625, ""noisy_error"": 0.15404999256134033}, {""sigma"": 0.033203125, ""noisy_error"": 0.1254899948835373}, {""sigma"": 0.0322265625, ""noisy_error"": 0.11289999634027481}, {""sigma"": 0.03173828125, ""noisy_error"": 0.10204999893903732}, {""sigma"": 0.031494140625, ""noisy_error"": 0.10083000361919403}, {""sigma"": 0.0316162109375, ""noisy_error"": 0.10051999986171722}, {""sigma"": 0.03167724609375, ""noisy_error"": 0.10216999799013138}, {""sigma"": 0.031646728515625, ""noisy_error"": 0.10216999799013138}, {""sigma"": 0.0316314697265625, ""noisy_error"": 0.1035899966955185}]",1.0,tensor(9.0684)
zmios1i2,opsgd_hw512_nl2_lr0.001_bs64_dp0.2_wd1e-05,0.001,64.0,0.2,1e-05,sgd,2.0,512.0,0.7039999961853027,1.0,11084.0,False,0.009996211156249,False,True,88.0,422632.0,0.2960000038146972,0.0106218392029404,0.0404510498046875,0.0996700003743171,"[{""sigma"": 0.5, ""noisy_error"": 0.8969399929046631}, {""sigma"": 0.25, ""noisy_error"": 0.8724700212478638}, {""sigma"": 0.125, ""noisy_error"": 0.7474899888038635}, {""sigma"": 0.0625, ""noisy_error"": 0.34935998916625977}, {""sigma"": 0.03125, ""noisy_error"": 0.0301900003105402}, {""sigma"": 0.046875, ""noisy_error"": 0.16784000396728516}, {""sigma"": 0.0390625, ""noisy_error"": 0.08766999840736389}, {""sigma"": 0.04296875, ""noisy_error"": 0.12382999807596207}, {""sigma"": 0.041015625, ""noisy_error"": 0.10599000006914139}, {""sigma"": 0.0400390625, ""noisy_error"": 0.09504000097513199}, {""sigma"": 0.04052734375, ""noisy_error"": 0.1008400022983551}, {""sigma"": 0.040283203125, ""noisy_error"": 0.0989300012588501}, {""sigma"": 0.0404052734375, ""noisy_error"": 0.09923999756574631}, {""sigma"": 0.04046630859375, ""noisy_error"": 0.10154999792575836}, {""sigma"": 0.040435791015625, ""noisy_error"": 0.09995000064373016}, {""sigma"": 0.0404510498046875, ""noisy_error"": 0.09967000037431717}]",1.0,tensor(4.4888)
bs16a9zo,oprmsprop_hw2048_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64.0,0.1,1e-05,rmsprop,4.0,2048.0,0.7599999904632568,0.9984999895095824,52.0,False,0.0063584609888494,False,True,69.0,334066.0,0.2384999990463256,0.0099996831268072,0.0416412353515625,0.1006399989128112,"[{""sigma"": 0.5, ""noisy_error"": 0.8999300003051758}, {""sigma"": 0.25, ""noisy_error"": 0.8979499936103821}, {""sigma"": 0.125, ""noisy_error"": 0.8879799842834473}, {""sigma"": 0.0625, ""noisy_error"": 0.5468599796295166}, {""sigma"": 0.03125, ""noisy_error"": 0.021539999172091484}, {""sigma"": 0.046875, ""noisy_error"": 0.18470999598503113}, {""sigma"": 0.0390625, ""noisy_error"": 0.06943000108003616}, {""sigma"": 0.04296875, ""noisy_error"": 0.12065999954938889}, {""sigma"": 0.041015625, ""noisy_error"": 0.09035000205039978}, {""sigma"": 0.0419921875, ""noisy_error"": 0.10493999719619751}, {""sigma"": 0.04150390625, ""noisy_error"": 0.09644000232219696}, {""sigma"": 0.041748046875, ""noisy_error"": 0.1023000031709671}, {""sigma"": 0.0416259765625, ""noisy_error"": 0.09996999800205231}, {""sigma"": 0.04168701171875, ""noisy_error"": 0.10183999687433243}, {""sigma"": 0.041656494140625, ""noisy_error"": 0.10158000141382217}, {""sigma"": 0.0416412353515625, ""noisy_error"": 0.10063999891281128}]",1.0,tensor(15.5580)
y4j8i9wd,oprmsprop_hw2048_nl2_lr0.001_bs64_dp0.1_wd1e-05,0.001,64.0,0.1,1e-05,rmsprop,2.0,2048.0,0.7149999737739563,1.0,28.0,False,0.0053644077852368,False,True,71.0,232585.0,0.2850000262260437,0.0099987918511033,0.0489654541015625,0.1001999974250793,"[{""sigma"": 0.5, ""noisy_error"": 0.8986700177192688}, {""sigma"": 0.25, ""noisy_error"": 0.8844199776649475}, {""sigma"": 0.125, ""noisy_error"": 0.7647299766540527}, {""sigma"": 0.0625, ""noisy_error"": 0.252920001745224}, {""sigma"": 0.03125, ""noisy_error"": 0.011660000309348106}, {""sigma"": 0.046875, ""noisy_error"": 0.08254999667406082}, {""sigma"": 0.0546875, ""noisy_error"": 0.15852999687194824}, {""sigma"": 0.05078125, ""noisy_error"": 0.1164499968290329}, {""sigma"": 0.048828125, ""noisy_error"": 0.09954000264406204}, {""sigma"": 0.0498046875, ""noisy_error"": 0.10718999803066254}, {""sigma"": 0.04931640625, ""noisy_error"": 0.1044199988245964}, {""sigma"": 0.049072265625, ""noisy_error"": 0.10101000219583511}, {""sigma"": 0.0489501953125, ""noisy_error"": 0.09884999692440033}, {""sigma"": 0.04901123046875, ""noisy_error"": 0.10134000331163406}, {""sigma"": 0.048980712890625, ""noisy_error"": 0.10283999890089035}, {""sigma"": 0.0489654541015625, ""noisy_error"": 0.10019999742507935}]",1.0,tensor(10.1428)
vw1c3b46,oprmsprop_hw1024_nl4_lr0.001_bs64_dp0.1_wd1e-05,0.001,64.0,0.1,1e-05,rmsprop,4.0,1024.0,0.7400000095367432,0.9975000023841858,50.0,False,0.0088436249643564,False,True,62.0,433966.0,0.2574999928474426,0.0118785118684172,0.0422821044921875,0.1026000007987022,"[{""sigma"": 0.5, ""noisy_error"": 0.8996400237083435}, {""sigma"": 0.25, ""noisy_error"": 0.8973100185394287}, {""sigma"": 0.125, ""noisy_error"": 0.8770999908447266}, {""sigma"": 0.0625, ""noisy_error"": 0.4959299862384796}, {""sigma"": 0.03125, ""noisy_error"": 0.025669999420642853}, {""sigma"": 0.046875, ""noisy_error"": 0.16761000454425812}, {""sigma"": 0.0390625, ""noisy_error"": 0.07005999982357025}, {""sigma"": 0.04296875, ""noisy_error"": 0.11083000153303146}, {""sigma"": 0.041015625, ""noisy_error"": 0.09108000248670578}, {""sigma"": 0.0419921875, ""noisy_error"": 0.10154999792575836}, {""sigma"": 0.04248046875, ""noisy_error"": 0.10559999942779541}, {""sigma"": 0.042236328125, ""noisy_error"": 0.10211999714374542}, {""sigma"": 0.0423583984375, ""noisy_error"": 0.10471999645233154}, {""sigma"": 0.04229736328125, ""noisy_error"": 0.1025800034403801}, {""sigma"": 0.042266845703125, ""noisy_error"": 0.10067000240087509}, {""sigma"": 0.0422821044921875, ""noisy_error"": 0.10260000079870224}]",1.0,tensor(11.6489)
1yidjjjv,oprmsprop_hw2048_nl2_lr0.001_bs64_dp0.1_wd0,0.001,64.0,0.1,0.0,rmsprop,2.0,2048.0,0.6940000057220459,0.9992499947547911,28.0,False,0.0079149045050144,False,True,70.0,426940.0,0.3052499890327453,0.0117544261738657,0.0497589111328125,0.1027100011706352,"[{""sigma"": 0.5, ""noisy_error"": 0.8973900079727173}, {""sigma"": 0.25, ""noisy_error"": 0.878600001335144}, {""sigma"": 0.125, ""noisy_error"": 0.7240700125694275}, {""sigma"": 0.0625, ""noisy_error"": 0.22832000255584717}, {""sigma"": 0.03125, ""noisy_error"": 0.014440000057220459}, {""sigma"": 0.046875, ""noisy_error"": 0.07927999645471573}, {""sigma"": 0.0546875, ""noisy_error"": 0.14379000663757324}, {""sigma"": 0.05078125, ""noisy_error"": 0.10794000327587128}, {""sigma"": 0.048828125, ""noisy_error"": 0.09299000352621078}, {""sigma"": 0.0498046875, ""noisy_error"": 0.10221000015735626}, {""sigma"": 0.04931640625, ""noisy_error"": 0.09651000052690506}, {""sigma"": 0.049560546875, ""noisy_error"": 0.0987899973988533}, {""sigma"": 0.0496826171875, ""noisy_error"": 0.09945999830961227}, {""sigma"": 0.04974365234375, ""noisy_error"": 0.10057000070810318}, {""sigma"": 0.049774169921875, ""noisy_error"": 0.1008400022983551}, {""sigma"": 0.0497589111328125, ""noisy_error"": 0.10271000117063522}]",1.0,tensor(9.9167)
5p9ykg86,opsgd_hw2048_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64.0,0.1,0.0,sgd,3.0,2048.0,0.6729999780654907,1.0,868.0,False,0.0098519902676343,False,True,87.0,223170.0,0.3240000009536743,0.0099966377019882,0.0156402587890625,0.0980399996042251,"[{""sigma"": 0.5, ""noisy_error"": 0.901229977607727}, {""sigma"": 0.25, ""noisy_error"": 0.8994500041007996}, {""sigma"": 0.125, ""noisy_error"": 0.8946200013160706}, {""sigma"": 0.0625, ""noisy_error"": 0.8475199937820435}, {""sigma"": 0.03125, ""noisy_error"": 0.577489972114563}, {""sigma"": 0.015625, ""noisy_error"": 0.09881000220775604}, {""sigma"": 0.0234375, ""noisy_error"": 0.3578999936580658}, {""sigma"": 0.01953125, ""noisy_error"": 0.22235000133514404}, {""sigma"": 0.017578125, ""noisy_error"": 0.15746000409126282}, {""sigma"": 0.0166015625, ""noisy_error"": 0.1282700002193451}, {""sigma"": 0.01611328125, ""noisy_error"": 0.11435999721288681}, {""sigma"": 0.015869140625, ""noisy_error"": 0.10482999682426453}, {""sigma"": 0.0157470703125, ""noisy_error"": 0.10281000286340714}, {""sigma"": 0.01568603515625, ""noisy_error"": 0.10113000124692917}, {""sigma"": 0.015655517578125, ""noisy_error"": 0.10080999881029129}, {""sigma"": 0.0156402587890625, ""noisy_error"": 0.09803999960422516}]",1.0,tensor(6.2540)
076lw2ef,opadam_hw2048_nl4_lr0.003_bs32_dp0.2_wd0,0.003,32.0,0.2,0.0,adam,4.0,2048.0,0.5260000228881836,0.6502500176429749,1970.0,True,0.7419280409812927,False,False,,,,,,,,,
6392sewx,oprmsprop_hw2048_nl4_lr0.003_bs32_dp0.2_wd0,0.003,32.0,0.2,0.0,rmsprop,4.0,2048.0,0.1990000009536743,0.2405000030994415,1925.0,True,1.9541141986846924,False,False,,,,,,,,,
l7flxseg,oprmsprop_hw2048_nl3_lr0.003_bs32_dp0.1_wd0,0.003,32.0,0.1,0.0,rmsprop,3.0,2048.0,0.6690000295639038,0.975250005722046,1281.0,True,0.2080307453870773,False,False,,,,,,,,,
